2017-04-14,Round 0,Fukuoka SoftBank Hawks,0,Orix Buffaloes,9
2017-04-14,Round 0,Chunichi Dragons,3,Yomiuri Giants,2
2017-04-14,Round 0,Yokohama DeNA BayStars,4,Tokyo Yakult Swallows,3
2017-04-14,Round 0,Hanshin Tigers,4,Hiroshima Toyo Carp,2
2017-04-14,Round 0,Tohoku Rakuten Golden Eagles,3,Hokkaido Nippon-Ham Fighters,2
2017-04-14,Round 0,Chiba Lotte Marines,2,Saitama Seibu Lions,3
2017-04-15,Round 0,Yokohama DeNA BayStars,2,Tokyo Yakult Swallows,7
2017-04-15,Round 0,Tohoku Rakuten Golden Eagles,4,Hokkaido Nippon-Ham Fighters,2
2017-04-15,Round 0,Hanshin Tigers,1,Hiroshima Toyo Carp,7
2017-04-15,Round 0,Fukuoka SoftBank Hawks,6,Orix Buffaloes,7
2017-04-15,Round 0,Chunichi Dragons,2,Yomiuri Giants,6
2017-04-15,Round 0,Chiba Lotte Marines,1,Saitama Seibu Lions,0
2017-04-16,Round 0,Chiba Lotte Marines,2,Saitama Seibu Lions,10
2017-04-16,Round 0,Tohoku Rakuten Golden Eagles,4,Hokkaido Nippon-Ham Fighters,3
2017-04-16,Round 0,Yokohama DeNA BayStars,6,Tokyo Yakult Swallows,3
2017-04-16,Round 0,Chunichi Dragons,0,Yomiuri Giants,2
2017-04-16,Round 0,Hanshin Tigers,2,Hiroshima Toyo Carp,1
2017-04-18,Round 0,Yomiuri Giants,3,Tokyo Yakult Swallows,0
2017-04-18,Round 0,Saitama Seibu Lions,0,Tohoku Rakuten Golden Eagles,2
2017-04-18,Round 0,Hokkaido Nippon-Ham Fighters,1,Orix Buffaloes,3
2017-04-18,Round 0,Hiroshima Toyo Carp,4,Yokohama DeNA BayStars,3
2017-04-18,Round 0,Chunichi Dragons,1,Hanshin Tigers,3
2017-04-18,Round 0,Chiba Lotte Marines,3,Fukuoka SoftBank Hawks,10
2017-04-19,Round 0,Hiroshima Toyo Carp,0,Yokohama DeNA BayStars,4
2017-04-19,Round 0,Chunichi Dragons,4,Hanshin Tigers,3
2017-04-19,Round 0,Saitama Seibu Lions,5,Tohoku Rakuten Golden Eagles,4
2017-04-19,Round 0,Yomiuri Giants,1,Tokyo Yakult Swallows,0
2017-04-19,Round 0,Chiba Lotte Marines,0,Fukuoka SoftBank Hawks,2
2017-04-20,Round 0,Hokkaido Nippon-Ham Fighters,4,Orix Buffaloes,8
2017-04-20,Round 0,Hiroshima Toyo Carp,3,Yokohama DeNA BayStars,5
2017-04-20,Round 0,Chunichi Dragons,5,Hanshin Tigers,2
2017-04-20,Round 0,Chiba Lotte Marines,0,Fukuoka SoftBank Hawks,4
2017-04-21,Round 0,Yomiuri Giants,1,Hanshin Tigers,4
2017-04-21,Round 0,Yokohama DeNA BayStars,2,Chunichi Dragons,2
2017-04-21,Round 0,Tokyo Yakult Swallows,3,Hiroshima Toyo Carp,1
2017-04-21,Round 0,Saitama Seibu Lions,9,Hokkaido Nippon-Ham Fighters,0
2017-04-21,Round 0,Fukuoka SoftBank Hawks,4,Tohoku Rakuten Golden Eagles,3
2017-04-22,Round 0,Chiba Lotte Marines,3,Orix Buffaloes,4
2017-04-22,Round 0,Saitama Seibu Lions,9,Hokkaido Nippon-Ham Fighters,1
2017-04-22,Round 0,Yomiuri Giants,4,Hanshin Tigers,1
2017-04-22,Round 0,Yokohama DeNA BayStars,11,Chunichi Dragons,4
2017-04-22,Round 0,Tokyo Yakult Swallows,1,Hiroshima Toyo Carp,0
2017-04-22,Round 0,Fukuoka SoftBank Hawks,2,Tohoku Rakuten Golden Eagles,11
2017-04-23,Round 0,Yokohama DeNA BayStars,0,Chunichi Dragons,1
2017-04-23,Round 0,Saitama Seibu Lions,12,Hokkaido Nippon-Ham Fighters,3
2017-04-23,Round 0,Fukuoka SoftBank Hawks,1,Tohoku Rakuten Golden Eagles,2
2017-04-23,Round 0,Chiba Lotte Marines,2,Orix Buffaloes,0
2017-04-23,Round 0,Yomiuri Giants,1,Hanshin Tigers,2
2017-04-23,Round 0,Tokyo Yakult Swallows,4,Hiroshima Toyo Carp,7
2017-04-25,Round 0,Hanshin Tigers,0,Yokohama DeNA BayStars,1
2017-04-25,Round 0,Chunichi Dragons,4,Tokyo Yakult Swallows,2
2017-04-25,Round 0,Fukuoka SoftBank Hawks,7,Hokkaido Nippon-Ham Fighters,5
2017-04-25,Round 0,Hiroshima Toyo Carp,0,Yomiuri Giants,1
2017-04-25,Round 0,Orix Buffaloes,5,Saitama Seibu Lions,4
2017-04-25,Round 0,Tohoku Rakuten Golden Eagles,4,Chiba Lotte Marines,2
2017-04-26,Round 0,Tohoku Rakuten Golden Eagles,11,Chiba Lotte Marines,7
2017-04-26,Round 0,Orix Buffaloes,4,Saitama Seibu Lions,3
2017-04-26,Round 0,Hiroshima Toyo Carp,7,Yomiuri Giants,6
2017-04-26,Round 0,Fukuoka SoftBank Hawks,4,Hokkaido Nippon-Ham Fighters,1
2017-04-26,Round 0,Chunichi Dragons,7,Tokyo Yakult Swallows,8
2017-04-27,Round 0,Orix Buffaloes,3,Saitama Seibu Lions,2
2017-04-27,Round 0,Hiroshima Toyo Carp,1,Yomiuri Giants,0
2017-04-27,Round 0,Hanshin Tigers,5,Yokohama DeNA BayStars,2
2017-04-27,Round 0,Fukuoka SoftBank Hawks,4,Hokkaido Nippon-Ham Fighters,5
2017-04-27,Round 0,Chunichi Dragons,2,Tokyo Yakult Swallows,0
2017-04-28,Round 0,Orix Buffaloes,1,Fukuoka SoftBank Hawks,3
2017-04-28,Round 0,Hanshin Tigers,6,Chunichi Dragons,0
2017-04-28,Round 0,Yokohama DeNA BayStars,9,Hiroshima Toyo Carp,3
2017-04-28,Round 0,Saitama Seibu Lions,2,Chiba Lotte Marines,2
2017-04-28,Round 0,Tokyo Yakult Swallows,0,Yomiuri Giants,7
2017-04-29,Round 0,Yokohama DeNA BayStars,1,Hiroshima Toyo Carp,6
2017-04-29,Round 0,Saitama Seibu Lions,3,Chiba Lotte Marines,6
2017-04-29,Round 0,Hokkaido Nippon-Ham Fighters,3,Tohoku Rakuten Golden Eagles,2
2017-04-29,Round 0,Hanshin Tigers,3,Chunichi Dragons,6
2017-04-29,Round 0,Tokyo Yakult Swallows,2,Yomiuri Giants,1
2017-04-29,Round 0,Orix Buffaloes,6,Fukuoka SoftBank Hawks,4
2017-04-30,Round 0,Saitama Seibu Lions,2,Chiba Lotte Marines,1
2017-04-30,Round 0,Yokohama DeNA BayStars,10,Hiroshima Toyo Carp,9
2017-04-30,Round 0,Hanshin Tigers,3,Chunichi Dragons,2
2017-04-30,Round 0,Hokkaido Nippon-Ham Fighters,1,Tohoku Rakuten Golden Eagles,2
2017-04-30,Round 0,Orix Buffaloes,1,Fukuoka SoftBank Hawks,2
2017-04-30,Round 0,Tokyo Yakult Swallows,3,Yomiuri Giants,2
2017-05-02,Round 0,Fukuoka SoftBank Hawks,14,Saitama Seibu Lions,4
2017-05-02,Round 0,Yomiuri Giants,5,Yokohama DeNA BayStars,0
2017-05-02,Round 0,Tokyo Yakult Swallows,4,Hanshin Tigers,1
2017-05-02,Round 0,Tohoku Rakuten Golden Eagles,1,Orix Buffaloes,4
2017-05-02,Round 0,Hokkaido Nippon-Ham Fighters,11,Chiba Lotte Marines,0
2017-05-02,Round 0,Hiroshima Toyo Carp,5,Chunichi Dragons,2
2017-05-03,Round 0,Fukuoka SoftBank Hawks,6,Saitama Seibu Lions,2
2017-05-03,Round 0,Hiroshima Toyo Carp,7,Chunichi Dragons,4
2017-05-03,Round 0,Hokkaido Nippon-Ham Fighters,2,Chiba Lotte Marines,1
2017-05-03,Round 0,Tohoku Rakuten Golden Eagles,4,Orix Buffaloes,2
2017-05-03,Round 0,Tokyo Yakult Swallows,4,Hanshin Tigers,8
2017-05-03,Round 0,Yomiuri Giants,4,Yokohama DeNA BayStars,1
2017-05-04,Round 0,Tokyo Yakult Swallows,1,Hanshin Tigers,7
2017-05-04,Round 0,Tohoku Rakuten Golden Eagles,2,Orix Buffaloes,1
2017-05-04,Round 0,Fukuoka SoftBank Hawks,9,Saitama Seibu Lions,6
2017-05-04,Round 0,Hiroshima Toyo Carp,8,Chunichi Dragons,7
2017-05-04,Round 0,Yomiuri Giants,2,Yokohama DeNA BayStars,5
2017-05-04,Round 0,Hokkaido Nippon-Ham Fighters,6,Chiba Lotte Marines,4
2017-05-05,Round 0,Chiba Lotte Marines,2,Fukuoka SoftBank Hawks,3
2017-05-05,Round 0,Saitama Seibu Lions,7,Tohoku Rakuten Golden Eagles,1
2017-05-05,Round 0,Hanshin Tigers,8,Hiroshima Toyo Carp,5
2017-05-05,Round 0,Chunichi Dragons,2,Yomiuri Giants,3
2017-05-05,Round 0,Yokohama DeNA BayStars,6,Tokyo Yakult Swallows,1
2017-05-05,Round 0,Orix Buffaloes,2,Hokkaido Nippon-Ham Fighters,6
2017-05-06,Round 0,Saitama Seibu Lions,2,Tohoku Rakuten Golden Eagles,10
2017-05-06,Round 0,Orix Buffaloes,2,Hokkaido Nippon-Ham Fighters,5
2017-05-06,Round 0,Chiba Lotte Marines,4,Fukuoka SoftBank Hawks,1
2017-05-06,Round 0,Yokohama DeNA BayStars,6,Tokyo Yakult Swallows,5
2017-05-06,Round 0,Hanshin Tigers,12,Hiroshima Toyo Carp,9
2017-05-06,Round 0,Chunichi Dragons,1,Yomiuri Giants,6
2017-05-07,Round 0,Yokohama DeNA BayStars,5,Tokyo Yakult Swallows,12
2017-05-07,Round 0,Saitama Seibu Lions,2,Tohoku Rakuten Golden Eagles,3
2017-05-07,Round 0,Orix Buffaloes,4,Hokkaido Nippon-Ham Fighters,3
2017-05-07,Round 0,Chiba Lotte Marines,2,Fukuoka SoftBank Hawks,8
2017-05-07,Round 0,Chunichi Dragons,8,Yomiuri Giants,1
2017-05-07,Round 0,Hanshin Tigers,6,Hiroshima Toyo Carp,0
2017-05-09,Round 0,Tohoku Rakuten Golden Eagles,4,Chiba Lotte Marines,6
2017-05-09,Round 0,Yomiuri Giants,2,Hanshin Tigers,4
2017-05-09,Round 0,Tokyo Yakult Swallows,3,Hiroshima Toyo Carp,2
2017-05-09,Round 0,Hokkaido Nippon-Ham Fighters,2,Saitama Seibu Lions,7
2017-05-09,Round 0,Fukuoka SoftBank Hawks,2,Orix Buffaloes,1
2017-05-09,Round 0,Chunichi Dragons,8,Yokohama DeNA BayStars,3
2017-05-10,Round 0,Yomiuri Giants,9,Hanshin Tigers,7
2017-05-10,Round 0,Tokyo Yakult Swallows,7,Hiroshima Toyo Carp,8
2017-05-10,Round 0,Tohoku Rakuten Golden Eagles,5,Chiba Lotte Marines,0
2017-05-10,Round 0,Hokkaido Nippon-Ham Fighters,2,Saitama Seibu Lions,1
2017-05-10,Round 0,Fukuoka SoftBank Hawks,3,Orix Buffaloes,2
2017-05-10,Round 0,Chunichi Dragons,1,Yokohama DeNA BayStars,3
2017-05-11,Round 0,Chunichi Dragons,3,Yokohama DeNA BayStars,4
2017-05-11,Round 0,Tokyo Yakult Swallows,12,Hiroshima Toyo Carp,3
2017-05-11,Round 0,Fukuoka SoftBank Hawks,7,Orix Buffaloes,0
2017-05-11,Round 0,Tohoku Rakuten Golden Eagles,4,Chiba Lotte Marines,1
2017-05-12,Round 0,Yokohama DeNA BayStars,1,Hanshin Tigers,4
2017-05-12,Round 0,Orix Buffaloes,0,Saitama Seibu Lions,11
2017-05-12,Round 0,Hokkaido Nippon-Ham Fighters,15,Chiba Lotte Marines,1
2017-05-13,Round 0,Tokyo Yakult Swallows,3,Chunichi Dragons,4
2017-05-13,Round 0,Fukuoka SoftBank Hawks,3,Tohoku Rakuten Golden Eagles,2
2017-05-13,Round 0,Orix Buffaloes,2,Saitama Seibu Lions,8
